legislation_id,step1,step2,step3,step4,step5,step6
australia_modern_slavery_2018,政策：在指南中提及；管理体系：在指南中提及；商业关系：在指南中提及,范围：指南提及初步范围界定（强制性标准第3条）；评估：披露运营和供应链中现代奴役做法的风险；优先级：指南提及优先级排序（强制性标准第4条）,预防/减缓：描述为解决风险所采取的行动（第2部分，第16条d项）；参与框架：指南解释现代奴役做法风险是指实体造成、促成或直接关联现代奴役的可能性,跟踪：披露报告实体如何评估其行动的有效性（第2部分，第16条e项）,披露要求：向政府公共登记处提交经管理机构批准的年度报告（第12条、第18条）,补救措施：描述所采取的行动，包括补救过程（第2部分，第16条d项）；申诉机制：指南提及申诉机制（强制性标准第4条）
canada_forced_labour_2023,政策：披露与强迫劳动相关的政策和尽职调查流程（第11条第3款）；管理体系：在指南中提及；商业关系：未明确说明,范围：未明确说明；评估：披露其业务和供应链中存在强迫劳动或童工风险的部分，以及为评估风险所采取的步骤（第11条第3款c项）；优先级：未明确说明,预防/减缓：披露为管理风险所采取的步骤（第11条第3款c项）；参与框架：未明确说明,跟踪：披露实体如何评估其行动的有效性（第11条第3款g项）,披露要求：在网站上发布经管理机构批准的年度报告，并提交给政府登记处（第11条、第13条、第22条）,补救措施：披露为补救强迫劳动或童工所采取的措施；申诉机制：指南提及跟踪申诉机制案件（强制性信息，要求G）
eu_ai_act_2024,政策：通过风险管理计划间接要求（第34条）；管理体系：建立监控和风险管理系统（第32条）；商业关系：未明确说明,范围：对于高风险人工智能系统，识别和分析合理可预见的风险（第9条）；评估：对于高风险人工智能系统，估算和评估在使用过程中及合理可预见的误用中可能出现的风险；优先级：对于高风险人工智能系统，重点关注合理可预见的风险（第9条第2款）,预防/减缓：对于高风险人工智能系统，采取适当且有针对性的风险管理措施（第9条第2款d项、第4条）；参与框架：未明确说明,跟踪：跟踪、记录相关信息并酌情向人工智能办公室报告（第55条第1款c项）,披露要求：透明度要求及向部署者提供信息（第13条）；起草并维护模型的技术文档；向人工智能办公室报告相关信息（第53条第1款a项；第55条第1款c项）,补救措施：未明确说明；申诉机制：未明确说明
eu_batteries_2023,政策：要求制定政策（第48条）；管理体系：要求将监督职责分配给最高管理层（第49条第1款）；商业关系：将政策、风险措施纳入合同和协议（第49条）,范围：未明确说明；评估：识别和评估供应链中不利影响的风险，参考附件中列出的风险（第50条第1款）；优先级：未明确说明,预防/减缓：设计并实施战略（包括风险管理计划），以预防、减缓或以其他方式解决不利影响（第50条第1款）；参与框架：未明确说明“直接关联”的情形，但可通过尽职调查定义（包括供应链中供应商的风险，以及提及诱导、间接影响和累积环境与人权影响）推断得出（第3条第1款第42项；脱离：规定在减缓尝试失败后，可临时暂停或终止关系（第50条第2款b项第iii目）,跟踪：要求监控和跟踪风险减缓措施的执行情况（第50条第1款b项第iii目）,披露要求：发布年度尽职调查报告，说明所涉及的电池、为遵守法规尽职调查要求所采取步骤的数据和信息、核查报告摘要以及其他相关信息（如适用）（第52条第3款）,补救措施：当公司造成或共同造成不利影响时，必须提供补救；申诉机制：未明确说明
eu_conflict_minerals_2017,政策：采纳并传达政策（第4条a、b项）；管理体系：构建内部管理体系以支持供应链尽职调查（第4条c项）；商业关系：将政策纳入与供应商的合同和协议中（第4条d项）,范围：未明确说明；评估：识别和评估矿产供应链中不利影响的风险，遵循经合组织《关于来自受冲突影响和高风险区域的矿产的负责任供应链尽职调查指南》附件二（第5条）；优先级：未明确说明，但重点关注源自受冲突影响和高风险区域的矿产,预防/减缓：实施应对已识别风险的策略，以预防和减缓不利影响（第5条）；参与框架：未明确说明；脱离：规定在减缓努力期间临时暂停,跟踪：监控和跟踪风险减缓措施的执行情况,披露要求：公开报告供应链尽职调查政策和实践（第7条第3款）,补救措施：未明确说明；申诉机制：要求实体建立程序，允许列明的人员和实体在有“合理关切”时提交投诉（第14条第1款）
eu_csddd_2026,政策：将尽职调查纳入政策并制定尽职调查政策（第7条）；管理体系：将尽职调查纳入风险管理系统（第7条第1款）；商业关系：尽职调查政策应包括适用于直接和间接商业伙伴的行为准则（第7条第2款）,范围：涵盖自身运营、子公司运营，以及与业务伙伴的“活动链”相关的运营，以基于合理可得信息识别可能发生不利影响的一般领域（第8条第2款a项）；评估：根据范围界定的结果，在已确定最可能和最严重不利影响的领域进行深入评估（第8条第2款b项）；优先级：基于严重性和可能性对不利影响进行优先级排序（第9条）,预防/减缓：采取适当措施预防和减缓潜在不利影响，终止实际不利影响，并尽量减少无法终止的影响的范围（第10条、第11条）；参与框架：涵盖仅由公司造成、共同造成或仅由业务伙伴造成的影响（第10条、第11条）；脱离：如果影响无法被预防或减缓，要求暂停业务关系，除非暂停的负面影响超过要解决的不利影响，并采取措施预防、终止暂停的影响，并向业务伙伴提供合理通知（第10条、第11条）,跟踪：至少每五年对识别和解决不利影响措施的实施情况、充分性和有效性进行定期评估,披露要求：在网站上发布年度声明；属于《企业可持续发展报告指令》范围内的实体免除此报告要求（第16条）,补救措施：当公司造成或共同造成不利影响时，必须提供补救；申诉机制：建立用于风险识别的预警机制
eu_csrd_2026,政策：明确要求：披露政策（欧洲可持续发展报告标准（ESRS）2）；管理体系：披露管理层和监管机构如何了解重大风险与影响（ESRS 2）；商业关系：未明确说明,范围：基于“双重重要性”视角，对全部可持续发展事项进行重要性评估，并涵盖整个价值链（ESRS 1）；评估：披露风险评估；优先级：对于影响重要性，披露实体如何基于严重性和可能性进行优先级排序（ESRS 2）、使用的标准及决策过程。高度严重的负面影响自动被视为重要,预防/减缓：披露为预防和减缓所采取的行动（包括行动计划）（ESRS 2）；参与框架：报告需考虑实体通过自身运营或因其商业关系而参与的负面影响,跟踪：披露与上一报告期相比，重大影响、风险和机遇的变化（ESRS 2）,披露要求：将可持续发展信息作为管理层报告的一部分提交给成员国的官方指定机制，并在网站上发布（第29g条第1款）,补救措施：要求描述为补救负面影响而制定的政策和采取的行动（ESRS 2）；申诉机制：要求披露是否设有针对自身员工、价值链工人、受影响社区、消费者和最终用户的申诉机制（ESRS S1-S4）
eu_deforestation_2023,政策：要求制定充分的政策（第11条第2款）；管理体系：要求实体建立充分的风险管控措施和程序；商业关系：未明确说明,范围：未明确说明；评估：根据信息和文件进行风险评估（第10条第1款）；优先级：未明确说明,预防/减缓：制定相称的政策、管控措施和程序以进行减缓（第11条）；参与框架：未明确说明，重点在于产品不存在毁林风险，而非实体与风险之间的关联,跟踪：要求每年审查风险评估、风险减缓措施及尽职调查系统,披露要求：每年公开报告尽职调查系统（第12条第3款）,补救措施：未明确说明；申诉机制：未明确说明
eu_dsa_2022,政策：中介服务提供商的条款和条件应包括关于内容审核所用政策、程序、措施和工具的信息；管理体系：建立具有权威、地位、资源和接触提供者管理层权限的合规职能（第41条）；商业关系：超大型在线平台和搜索引擎的提供者应向接收者提供条款和条件的简明摘要（第14条）,范围：未明确说明；评估：超大型在线平台和搜索引擎的提供者应识别、分析和评估系统性风险（第34条）；优先级：重点关注系统性风险，考虑严重性和可能性（第34条）,预防/减缓：超大型在线平台和搜索引擎的提供者应制定合理、相称且有效的减缓措施，并针对特定的系统性风险进行调整（第35条）；参与框架：未明确说明,跟踪：超大型在线平台需对其风险评估和减缓措施进行独立审计（第37条）,披露要求：提供者应至少每年公开发布一份全面的报告，说明其进行的任何内容审核活动（第15条、第42条）,补救措施：未在明确提及；申诉机制：要求提供申诉机制（包括补救），可通过直接提供、与其他运营者合作或协助诉诸外部机构来实现（第49条第1款f项）
eu_forced_labour_2024,禁止经济经营者在欧盟市场上投放、提供或从欧盟市场出口使用强迫劳动制造的产品（第1条第1款）；没有直接进行尽职调查的义务；在怀疑存在强迫劳动的初步调查阶段，可能会考虑尽职调查文件（第17条）；与强迫劳动相关的尽职调查被定义为包含“识别、预防、减缓或终止使用强迫劳动的做法”（第2条第3款）；计划制定关于尽职调查以及终止和补救强迫劳动最佳实践的指南（第11条）,,,,,
